nama,berat,url,negara,noc,cabor,negl,kotal,tinggi,tgll,status
YOUSEF OBAID,66kg,https://id.asiangames2018.id/athletes/athlete/OBAID-Yousef-3004666/,Palestine,PLE,Atletik,Palestine,JABALIA,181CM,05/20/1994,
Powell Obinna Obi,82kg,https://id.asiangames2018.id/athletes/athlete/OBI-Powell-Obinna-3000412/,Japan,JPN,Sepak Bola,NA,,193CM,12/18/1997,
ERNEST JOHN OBIENA,78kg,https://id.asiangames2018.id/athletes/athlete/OBIENA-Ernest-John-3009575/,Philippines,PHI,Atletik,Philippines,MANILA,187CM,11/17/1995,
Dulguun Ochbadrakh,70kg,https://id.asiangames2018.id/athletes/athlete/OCHBADRAKH-Dulguun-3028038/,Mongolia,MGL,Basket,NA,,183CM,11/18/1996,
HIROMASA OCHIAI,72kg,https://id.asiangames2018.id/athletes/athlete/OCHIAI-Hiromasa-3006663/,Japan,JPN,Hoki,Japan,SHIMANE,177CM,02/09/1994,
Erdenetsogt Ochirbat,95kg,https://id.asiangames2018.id/athletes/athlete/OCHIRBAT-Erdenetsogt-3028026/,Mongolia,MGL,Basket,NA,,183CM,01/14/1995,
JARGALAN OCHIRBAT,51kg,https://id.asiangames2018.id/athletes/athlete/OCHIRBAT-Jargalan-3026398/,Mongolia,MGL,Tinju,Mongolia,,156CM,03/13/1995,
MARGARITA OCHOA,47kg,https://id.asiangames2018.id/athletes/athlete/OCHOA-Margarita-3007859/,Philippines,PHI,Ju-Jitsu,Philippines,MANILA,152CM,05/06/1990,
MAKOTO ODAKURA,57kg,https://id.asiangames2018.id/athletes/athlete/ODAKURA-Makoto-3027119/,Japan,JPN,Triathlon,Japan,,164CM,07/20/1993,
ENAR ODEH,80kg,https://id.asiangames2018.id/athletes/athlete/ODEH-Enar-3013239/,Palestine,PLE,Basket,UnitedStates,RAMALLAH ,192CM,10/03/1993,
SUKHROB ODINAEV,69kg,https://id.asiangames2018.id/athletes/athlete/ODINAEV-Sukhrob-3004500/,Tajikistan,TJK,Ju-Jitsu,Tajikistan,DUSHANBE,173CM,08/24/1994,
EDIDIONG ODIONG,53kg,https://id.asiangames2018.id/athletes/athlete/ODIONG-Edidiong-3010983/,Bahrain,BRN,Atletik,Nigeria,,162CM,03/13/1997,
VLADA ODNOLETOK,58kg,https://id.asiangames2018.id/athletes/athlete/ODNOLETOK-Vlada-3021351/,Kazakhstan,KAZ,Rugby 7,Kazakhstan,,165CM,07/06/2001,
ANKH-UCHRAL ODSUREN,53kg,https://id.asiangames2018.id/athletes/athlete/ODSUREN-Ankh-Uchral-3027335/,Mongolia,MGL,Triathlon,Mongolia,,165CM,05/05/1995,
IKUMI OEDA,78kg,https://id.asiangames2018.id/athletes/athlete/OEDA-Ikumi-3009775/,Thailand,THA,Judo,Japan,japan,152CM,06/01/1993,
KRISTINA OFITSEROVA,65kg,https://id.asiangames2018.id/athletes/athlete/OFITSEROVA-Kristina-3003300/,Uzbekistan,UZB,Bola Tangan,Uzbekistan,,170CM,12/09/1987,
Koki Ogawa,75kg,https://id.asiangames2018.id/athletes/athlete/OGAWA-Koki-3024940/,Japan,JPN,Sepak Bola,NA,,180CM,08/08/1997,
TAKESHI OGAWA,90kg,https://id.asiangames2018.id/athletes/athlete/OGAWA-Takeshi-3025695/,Japan,JPN,Bola Voli,Tanzania,,193CM,07/07/1994,
,,https://id.asiangames2018.id/athletes/athlete/OGOMORI-(SOEJIMA)-Shota-(Noah)-3026429/,,,,,,,,error
TOSIN OGUNODE,80kg,https://id.asiangames2018.id/athletes/athlete/OGUNODE-Tosin-3002940/,Qatar,QAT,Atletik,Nigeria,,170CM,03/02/1994,
SAE OGURA,50kg,https://id.asiangames2018.id/athletes/athlete/OGURA-Sae-3025438/,Japan,JPN,Golf,Japan,,159CM,09/03/2000,
FENG GUI DESMOND OH,75kg,https://id.asiangames2018.id/athletes/athlete/OH-Feng-Gui-Desmond-3021453/,Singapore,SGP,Bridge,Singapore,SINGAPORE,175CM,05/11/1987,
HEA YEOUN OH,-,https://id.asiangames2018.id/athletes/athlete/OH-Hea-Yeoun-3011513/,Korea,KOR,Sofbol,NA,,-,10/02/1978,
JAEWON OH,67kg,https://id.asiangames2018.id/athletes/athlete/OH-Jaewon-3029265/,Korea,KOR,Atletik,Korea,,185CM,06/27/1996,
JESEOK OH,90kg,https://id.asiangames2018.id/athletes/athlete/OH-Jeseok-3012989/,Korea,KOR,Balap Sepeda Trek,Korea,,182CM,09/18/1997,
JIHWAN OH,80kg,https://id.asiangames2018.id/athletes/athlete/OH-Jihwan-3014130/,Korea,KOR,Bisbol ,Korea,,186CM,03/12/1990,
JINHYEK OH,98kg,https://id.asiangames2018.id/athletes/athlete/OH-Jinhyek-3011443/,Korea,KOR,Panahan,Korea,,182CM,08/15/1981,
KYONGSOO OH,85kg,https://id.asiangames2018.id/athletes/athlete/OH-Kyongsoo-3011777/,Korea,KOR,Atletik,Korea,,183CM,03/23/1987,
SANGUK OH,91kg,https://id.asiangames2018.id/athletes/athlete/OH-Sanguk-3012807/,Korea,KOR,Anggar,Korea,,192CM,09/30/1996,
SEUNGTAEK OH,80kg,https://id.asiangames2018.id/athletes/athlete/OH-Seungtaek-3012778/,Korea,KOR,Golf,Korea,,186CM,11/06/1998,
SUNGWHAN OH,65kg,https://id.asiangames2018.id/athletes/athlete/OH-Sungwhan-3015756/,Korea,KOR,Berkuda,Korea,,172CM,12/07/1979,
YEONJI OH,60kg,https://id.asiangames2018.id/athletes/athlete/OH-Yeonji-3012285/,Korea,KOR,Tinju,Korea,,168CM,08/04/1990,
MASAKI OHASHI,70kg,https://id.asiangames2018.id/athletes/athlete/OHASHI-Masaki-3006620/,Japan,JPN,Hoki,Japan,TOCHIGI,170CM,05/08/1993,
YUI OHASHI,55kg,https://id.asiangames2018.id/athletes/athlete/OHASHI-Yui-3006668/,Japan,JPN,Renang  ,Japan,SHIGA,173CM,10/18/1995,
AYA OHORI,58kg,https://id.asiangames2018.id/athletes/athlete/OHORI-Aya-3003587/,Japan,JPN,Bulutangkis,Japan,FUKUSHIMA,169CM,10/02/1996,
RIYU OHTA,61kg,https://id.asiangames2018.id/athletes/athlete/OHTA-Riyu-3024219/,Japan,JPN,Balap Sepeda Trek,Japan,,165CM,08/17/1994,
Mana Ohyama,62kg,https://id.asiangames2018.id/athletes/athlete/OHYAMA-Mana-3025507/,Japan,JPN,Bola Tangan,NA,,164CM,12/07/1992,
SHIHORI OIKAWA,58kg,https://id.asiangames2018.id/athletes/athlete/OIKAWA-Shihori-3025665/,Japan,JPN,Hoki,Japan,,164CM,03/12/1989,
CHAOBA DEVI OINAM,47kg,https://id.asiangames2018.id/athletes/athlete/OINAM-Chaoba-Devi-3012383/,India,IND,Sepaktakraw,India,THOUBAL,154CM,03/02/1988,
JAMESBOY SINGH OINAM,70kg,https://id.asiangames2018.id/athletes/athlete/OINAM-Jamesboy-Singh-3003303/,India,IND,Kano/Kayak Sprint,India,"BISHNUPUR, MANIPUR",165CM,03/01/1992,
YAIPHABI DEVI OINAM,53kg,https://id.asiangames2018.id/athletes/athlete/OINAM-Yaiphabi-Devi-3023982/,India,IND,Kano/Kayak Sprint,India,"THANGA CHINGKHA LEIKAI, MANIPU",158CM,12/03/1997,
KANNA OISHI,65kg,https://id.asiangames2018.id/athletes/athlete/OISHI-Kanna-3007215/,Japan,JPN,Anggar,Japan,OITA,168CM,10/10/1992,
RIKIYA OISHI,97kg,https://id.asiangames2018.id/athletes/athlete/OISHI-Rikiya-3001479/,Japan,JPN,Rugby 7,Japan,NAGANO,190CM,01/29/1993,
CHISAKI OIWA,38kg,https://id.asiangames2018.id/athletes/athlete/OIWA-Chisaki-3025461/,Japan,JPN,Senam Ritmik,Japan,,160CM,11/20/2001,
YOSHIAKI OIWA,70kg,https://id.asiangames2018.id/athletes/athlete/OIWA-Yoshiaki-3026430/,Japan,JPN,Berkuda,Japan,,170CM,07/19/1976,
LAWRENCE OIYAITOU,86kg,https://id.asiangames2018.id/athletes/athlete/OIYAITOU-Lawrence-3022462/,Indonesia,INA,Rugby 7,Indonesia,,186CM,06/21/1991,
ALI OJAGHI,92kg,https://id.asiangames2018.id/athletes/athlete/OJAGHI-Ali-3003390/,IR Iran,IRI,Kano/Kayak Sprint,IslamicRepublicofIran,,192CM,01/29/1992,
TAKESHI OJITANI,145kg,https://id.asiangames2018.id/athletes/athlete/OJITANI-Takeshi-3025853/,Japan,JPN,Judo,Japan,,186CM,06/09/1992,
YONGJOO OK,75kg,https://id.asiangames2018.id/athletes/athlete/OK-Yongjoo-3014263/,Korea,KOR,Kabaddi,Korea,,180CM,07/17/1995,
MICHIORI OKABE,86kg,https://id.asiangames2018.id/athletes/athlete/OKABE-Michiori-3008617/,Japan,JPN,Bisbol ,Japan,TOKYO,178CM,06/04/1992,
KUMIKO OKADA,47kg,https://id.asiangames2018.id/athletes/athlete/OKADA-Kumiko-3026648/,Japan,JPN,Atletik,Japan,,158CM,10/17/1991,
NAOYA OKADA,70kg,https://id.asiangames2018.id/athletes/athlete/OKADA-Naoya-3006903/,Japan,JPN,Menembak,Japan,OKAYAMA,183CM,10/10/1990,
YUICHIRO OKANO,85kg,https://id.asiangames2018.id/athletes/athlete/OKANO-Yuichiro-3008595/,Japan,JPN,Bisbol ,Japan,MIYAZAKI,180CM,04/16/1994,
SAYATBEK OKASSOV,65kg,https://id.asiangames2018.id/athletes/athlete/OKASSOV-Sayatbek-3028862/,Kazakhstan,KAZ,Gulat,Kazakhstan,,168CM,11/07/1991,
Keigo Okawa,96kg,https://id.asiangames2018.id/athletes/athlete/OKAWA-Keigo-3007119/,Japan,JPN,Polo Air,NA,,183CM,03/11/1990,
Makoto Okazaki,-,https://id.asiangames2018.id/athletes/athlete/OKAZAKI-Makoto-9953644/,Japan,JPN,Sepak Bola,NA,,-,10/10/1998,
ZHANYL OKOEVA,48kg,https://id.asiangames2018.id/athletes/athlete/OKOEVA-Zhanyl-3021114/,Kyrgyzstan,KGZ,Angkat Besi,Kyrgyzstan,BISHKEK,158CM,11/15/1993,
Roshini Devi Okram,50kg,https://id.asiangames2018.id/athletes/athlete/OKRAM-Roshini-Devi-3003785/,India,IND,Sepak Bola,NA,,167CM,02/08/1994,
Ade Mustikiana Oktafiani,51kg,https://id.asiangames2018.id/athletes/athlete/OKTAFIANI-Ade-Mustikiana-3020599/,Indonesia,INA,Sepak Bola,NA,,160CM,10/03/1999,
NOZOMI OKUHARA,52kg,https://id.asiangames2018.id/athletes/athlete/OKUHARA-Nozomi-3003597/,Japan,JPN,Bulutangkis,Japan,NAGANO,156CM,03/13/1995,
MAI OKUMURA,69kg,https://id.asiangames2018.id/athletes/athlete/OKUMURA-Mai-3005921/,Japan,JPN,Bola Voli,Japan,YAMAGUCHI,177CM,10/31/1990,
HARUNA OKUNO,55kg,https://id.asiangames2018.id/athletes/athlete/OKUNO-Haruna-3006223/,Japan,JPN,Gulat,Japan,MIE,157CM,03/18/1999,
YUME OKURODA,62kg,https://id.asiangames2018.id/athletes/athlete/OKURODA-Yume-3001206/,Japan,JPN,Rugby 7,Japan,CHIBA,157CM,07/06/1994,
RIRIKA OKUYAMA,68kg,https://id.asiangames2018.id/athletes/athlete/OKUYAMA-Ririka-3023959/,Japan,JPN,Basket 3x3,Japan,,180CM,04/06/2000,
HATTAN OLAYAN,85kg,https://id.asiangames2018.id/athletes/athlete/OLAYAN-Hattan-3012672/,Kingdom of Saudi Arabia,KSA,Polo Air,KingdomofSaudiArabia,JEDDAH,190CM,03/27/1988,
MOKHIRBEK OLIMJONOV,63kg,https://id.asiangames2018.id/athletes/athlete/OLIMJONOV-Mokhirbek-3001729/,Uzbekistan,UZB,Trampoline Gymnastics,Uzbekistan,,166CM,04/01/1998,
Nasiba Olimova,54kg,https://id.asiangames2018.id/athletes/athlete/OLIMOVA-Nasiba-3008421/,Tajikistan,TJK,Sepak Bola,NA,,165CM,01/14/1999,
JANNA DOMINIQUE OLIVA,53kg,https://id.asiangames2018.id/athletes/athlete/OLIVA-Janna-Dominique-3005565/,Philippines,PHI,Taekwondo,Philippines,OLONGAPO CITY,157CM,10/29/1997,
NATASHA SHANGWE OLSON-THORNE,68kg,https://id.asiangames2018.id/athletes/athlete/OLSON-THORNE-Natasha-Shangwe-3027027/,"Hong Kong, China",HKG,Rugby 7,UnitedStates,,161CM,10/06/1992,
BEKMUROD OLTIBOEV,101kg,https://id.asiangames2018.id/athletes/athlete/OLTIBOEV-Bekmurod-3005202/,Uzbekistan,UZB,Judo,Uzbekistan,,190CM,06/17/1996,
VERONIKA ADRIANA OLUA,65kg,https://id.asiangames2018.id/athletes/athlete/OLUA-Veronika-Adriana-3022472/,Indonesia,INA,Rugby 7,Indonesia,,160CM,07/14/1995,
YUN CHOL OM,60kg,https://id.asiangames2018.id/athletes/athlete/OM-Yun-Chol-3027527/,DPR Korea,PRK,Angkat Besi,DPRKorea,,151CM,11/18/1991,
 OM PRAKASH,78kg,https://id.asiangames2018.id/athletes/athlete/OM-PRAKASH-3007120/,India,IND,Dayung,India,BUDANA,185CM,03/10/1991,
MOHAMAD OMAR,115kg,https://id.asiangames2018.id/athletes/athlete/OMAR-Mohamad-3001331/,United Arab Emirates,UAE,Atletik,UnitedArabEmirates,DUBAI,182CM,06/30/1984,
GOLAB SHAH OMARI,61kg,https://id.asiangames2018.id/athletes/athlete/OMARI-Golab-Shah-3024101/,Afghanistan,AFG,Wushu,Afghanistan,Herat,165CM,03/20/1992,
MOHAMMAD NASIM OMARI,69kg,https://id.asiangames2018.id/athletes/athlete/OMARI-Mohammad-Nasim-3002513/,Afghanistan,AFG,Paralayang,Afghanistan,KAPISA,172CM,03/03/1992,
KANO OMATA,49kg,https://id.asiangames2018.id/athletes/athlete/OMATA-Kano-3025901/,Japan,JPN,Renang Artistik,Japan,,160CM,07/24/1996,
Jassem Omer,68kg,https://id.asiangames2018.id/athletes/athlete/OMER-Jassem-3029794/,Qatar,QAT,Sepak Bola,NA,,170CM,04/18/1995,
MARYAM OMIDIPARSA,57kg,https://id.asiangames2018.id/athletes/athlete/OMIDIPARSA-Maryam-3003140/,IR Iran,IRI,Dayung,IslamicRepublicofIran,,177CM,03/19/1997,
Takuma Ominami,-,https://id.asiangames2018.id/athletes/athlete/OMINAMI-Takuma-9953643/,Japan,JPN,Sepak Bola,NA,,-,12/13/1997,
DAYANCH OMIROV,83kg,https://id.asiangames2018.id/athletes/athlete/OMIROV-Dayanch-3008764/,Turkmenistan,TKM,Kurash,Turkmenistan,ASHGABAT,182CM,09/23/1996,
ANNA MARIE SUZANNE QUINT ONDAATJE,44kg,https://id.asiangames2018.id/athletes/athlete/ONDAATJE-Anna-Marie-Suzanne-Quint-3018115/,Sri Lanka,SRI,Senam Ritmik,Canada,ONTARIO,170CM,09/01/2000,
JUNG YI ONG,67kg,https://id.asiangames2018.id/athletes/athlete/ONG-Jung-Yi-3004712/,Singapore,SGP,Renang  ,Singapore,SINGAPORE,176CM,03/15/2001,
KA SHING ONG,70kg,https://id.asiangames2018.id/athletes/athlete/ONG-Ka-Shing-3005171/,Malaysia,MAS,Bridge,Malaysia,SELANGOR,179CM,07/15/1996,
MADELEINE XUE LI ONG,67kg,https://id.asiangames2018.id/athletes/athlete/ONG-Madeleine-Xue-Li-3005256/,Singapore,SGP,Panahan,Singapore,SINGAPORE,162CM,09/03/1994,
PEI YI ONG,61kg,https://id.asiangames2018.id/athletes/athlete/ONG-Pei-Yi-3004306/,Singapore,SGP,Rugby 7,Singapore,SINGAPORE,166CM,03/13/1993,
TIAN GHEE TERENCE ONG,71kg,https://id.asiangames2018.id/athletes/athlete/ONG-Tian-Ghee-Terence-3008438/,Singapore,SGP,Kano/Kayak Sprint,Singapore,SINGAPORE,168CM,12/31/1982,
WEI SIONG DARREN ONG,58kg,https://id.asiangames2018.id/athletes/athlete/ONG-Wei-Siong-Darren-3003447/,Singapore,SGP,Boling,Singapore,SINGAPORE,176CM,01/07/1996,
YEW SIN ONG,75kg,https://id.asiangames2018.id/athletes/athlete/ONG-Yew-Sin-3006167/,Malaysia,MAS,Bulutangkis,Malaysia,MELAKA,181CM,01/30/1995,
YISHENG KELVIN ONG,89kg,https://id.asiangames2018.id/athletes/athlete/ONG-Yisheng-Kelvin-3021454/,Singapore,SGP,Bridge,Singapore,SINGAPORE,172CM,01/16/1986,
BUSANAN ONGBAMRUNGPHAN,59kg,https://id.asiangames2018.id/athletes/athlete/ONGBAMRUNGPHAN-Busanan-3012575/,Thailand,THA,Bulutangkis,Thailand,BANGKOK,168CM,03/22/1996,
SOULIVONG ONMANEE,54kg,https://id.asiangames2018.id/athletes/athlete/ONMANEE-Soulivong-3016199/,Lao PDR,LAO,Panahan,LaoPeoplesDemocraticRepublic,Xiengkhouang Province,173CM,07/22/2001,
HANIS NADIAH ONN,60kg,https://id.asiangames2018.id/athletes/athlete/ONN-Hanis-Nadiah-3005544/,Malaysia,MAS,Hoki,Malaysia,JOHOR,160CM,12/05/1996,
MAYUMI ONO,58kg,https://id.asiangames2018.id/athletes/athlete/ONO-Mayumi-3025666/,Japan,JPN,Hoki,Japan,,170CM,08/14/1984,
SHOHEI ONO,73kg,https://id.asiangames2018.id/athletes/athlete/ONO-Shohei-3025854/,Japan,JPN,Judo,Japan,,170CM,02/03/1992,
TOMOYUKI ONO,75kg,https://id.asiangames2018.id/athletes/athlete/ONO-Tomoyuki-3006603/,Japan,JPN,Modern Pentathlon,Japan,SAITAMA,178CM,08/06/1985,
YUKA ONO,59kg,https://id.asiangames2018.id/athletes/athlete/ONO-Yuka-3024193/,Japan,JPN,Kano/Kayak Sprint,Japan,,162CM,08/02/1990,
TAISHI ONODERA,98kg,https://id.asiangames2018.id/athletes/athlete/ONODERA-Taishi-3006504/,Japan,JPN,Bola Voli,Japan,MIYAGI,201CM,02/27/1996,
MA CRISTINA ONOFRE,47kg,https://id.asiangames2018.id/athletes/athlete/ONOFRE-Ma-Cristina-3013708/,Philippines,PHI,Senam Artistik,Philippines,CALOOCAN CITY,150CM,01/27/1996,
ENKHBAATAR ONOLBAATAR,83kg,https://id.asiangames2018.id/athletes/athlete/ONOLBAATAR-Enkhbaatar-3028050/,Mongolia,MGL,Basket,Mongolia,,198CM,06/16/1995,
KHULAN ONOLBAATAR,64kg,https://id.asiangames2018.id/athletes/athlete/ONOLBAATAR-Khulan-3028074/,Mongolia,MGL,Basket 3x3,Mongolia,,179CM,07/27/1999,
KURUMI ONOUE,57kg,https://id.asiangames2018.id/athletes/athlete/ONOUE-Kurumi-3027231/,Japan,JPN,Soft Tenis,Japan,,164CM,10/19/1996,
AUNG NAING OO,65kg,https://id.asiangames2018.id/athletes/athlete/OO-Aung-Naing-3002856/,Myanmar,MYA,Sepaktakraw,Myanmar,YANGON,182CM,01/21/1993,
AYE ZAW OO,75kg,https://id.asiangames2018.id/athletes/athlete/OO-Aye-Zaw-3024533/,Myanmar,MYA,Dayung,Myanmar,YANGON,183CM,10/03/1999,
HTIKE LIN OO,58kg,https://id.asiangames2018.id/athletes/athlete/OO-Htike-Lin-3002776/,Myanmar,MYA,Panahan,Myanmar,YANGON,160CM,08/28/1999,
MYA MIN OO,69kg,https://id.asiangames2018.id/athletes/athlete/OO-Mya-Min-3005412/,Myanmar,MYA,Bola Voli,Myanmar,Nyaung Shwe,185CM,09/24/1996,
MYO MIN OO,69kg,https://id.asiangames2018.id/athletes/athlete/OO-Myo-Min-3013925/,Myanmar,MYA,Bola Voli,Myanmar,Nyaung Shwe,185CM,09/24/1996,
SANDY OO,55kg,https://id.asiangames2018.id/athletes/athlete/OO-Sandy-3002823/,Myanmar,MYA,Wushu,Myanmar,YANGON,167CM,09/07/1993,
THANT ZIN OO,70kg,https://id.asiangames2018.id/athletes/athlete/OO-Thant-Zin-3003070/,Myanmar,MYA,Kano/Kayak Sprint,Myanmar,YANGON,178CM,09/01/1989,
THANT ZIN OO,63kg,https://id.asiangames2018.id/athletes/athlete/OO-Thant-Zin-3002854/,Myanmar,MYA,Sepaktakraw,Myanmar,YANGON,179CM,04/15/1986,
THEIN THAN OO,59kg,https://id.asiangames2018.id/athletes/athlete/OO-Thein-Than-3002828/,Myanmar,MYA,Wushu,Myanmar,YANGON,169CM,05/11/1991,
Yan Naing Oo,56kg,https://id.asiangames2018.id/athletes/athlete/OO-Yan-Naing-3002741/,Myanmar,MYA,Sepak Bola,NA,,165CM,03/31/1996,
ZIN MIN OO,64kg,https://id.asiangames2018.id/athletes/athlete/OO-Zin-Min-3002861/,Myanmar,MYA,Sepaktakraw,Myanmar,YANGON,182CM,01/19/1992,
TZE LIANG OOI,60kg,https://id.asiangames2018.id/athletes/athlete/OOI-Tze-Liang-3005312/,Malaysia,MAS,Loncat Indah,Malaysia,PULAU PINANG,169CM,11/19/1993,
WEI CHENG BRANDON OOI,73kg,https://id.asiangames2018.id/athletes/athlete/OOI-Wei-Cheng-Brandon-3008329/,Singapore,SGP,Kano/Kayak Sprint,Singapore,SINGAPORE,173CM,09/13/1994,
Yee Jia Ooi,73kg,https://id.asiangames2018.id/athletes/athlete/OOI-Yee-Jia-3002554/,Singapore,SGP,Polo Air,NA,,178CM,10/03/1995,
YU FEN MAY OOI,59kg,https://id.asiangames2018.id/athletes/athlete/OOI-Yu-Fen-May-3008494/,Singapore,SGP,Ju-Jitsu,Singapore,SINGAPORE,165CM,06/24/1976,
NATASHA ANDREA OON,51kg,https://id.asiangames2018.id/athletes/athlete/OON-Natasha-Andrea-3007387/,Malaysia,MAS,Golf,Indonesia,INDONESIA,164CM,09/10/2001,
ALEKSANDRA OPACHANOVA,62kg,https://id.asiangames2018.id/athletes/athlete/OPACHANOVA-Aleksandra-3021331/,Kazakhstan,KAZ,Dayung,Kazakhstan,,170CM,03/07/1989,
CHIN CHUNG OR,73kg,https://id.asiangames2018.id/athletes/athlete/OR-Chin-Chung-3023308/,"Hong Kong, China",HKG,Bulutangkis,HongKongChina,,183CM,10/26/1994,
SWAPNA ORAON,53kg,https://id.asiangames2018.id/athletes/athlete/ORAON-Swapna-3014154/,India,IND,Rugby 7,India,SARASWATIPUR,158CM,06/13/1998,
YAGMYR ORAZDURDYYEV,55kg,https://id.asiangames2018.id/athletes/athlete/ORAZDURDYYEV-Yagmyr-3009215/,Turkmenistan,TKM,Sambo,Turkmenistan,,176CM,05/09/1997,
DOVLETMYRAT ORAZGYLYJOV,75kg,https://id.asiangames2018.id/athletes/athlete/ORAZGYLYJOV-Dovletmyrat-3009337/,Turkmenistan,TKM,Gulat,Turkmenistan,,176CM,05/20/1996,
NURBERDIHAN ORAZMAMMEDOV,90kg,https://id.asiangames2018.id/athletes/athlete/ORAZMAMMEDOV-Nurberdihan-3009284/,Turkmenistan,TKM,Sambo,Turkmenistan,,185CM,05/03/1994,
MARAT ORAZOV,71kg,https://id.asiangames2018.id/athletes/athlete/ORAZOV-Marat-3008750/,Turkmenistan,TKM,Kurash,Turkmenistan,ASHGABAT,178CM,10/09/1990,
NASANBURMAA ORCHIRBAT,76kg,https://id.asiangames2018.id/athletes/athlete/ORCHIRBAT-Nasanburmaa-3028132/,Mongolia,MGL,Gulat,Mongolia,,168CM,04/14/1989,
UITUMEN ORGODOL,86kg,https://id.asiangames2018.id/athletes/athlete/ORGODOL-Uitumen-3028114/,Mongolia,MGL,Gulat,Mongolia,,174CM,04/29/1989,
KENJI ORIHARA,78kg,https://id.asiangames2018.id/athletes/athlete/ORIHARA-Kenji-3025756/,Japan,JPN,Menembak,Japan,,167CM,02/01/1973,
RIKA ORIHARA,55kg,https://id.asiangames2018.id/athletes/athlete/ORIHARA-Rika-3025757/,Japan,JPN,Menembak,Japan,,152CM,02/21/1997,
FARKHOD ORIPOV,82kg,https://id.asiangames2018.id/athletes/athlete/ORIPOV-Farkhod-3002200/,Tajikistan,TJK,Renang  ,Tajikistan,DUSHANBE,184CM,04/09/1984,
ILYA ORLOV,-,https://id.asiangames2018.id/athletes/athlete/ORLOV-Ilya-3029758/,Kazakhstan,KAZ,Boling,Kazakhstan,,-,09/26/1997,
MARGARITA ORLOVA,52kg,https://id.asiangames2018.id/athletes/athlete/ORLOVA-Margarita-3000981/,Uzbekistan,UZB,Menembak,Uzbekistan,,165CM,01/15/1995,
NATALYA ORLOVA,-,https://id.asiangames2018.id/athletes/athlete/ORLOVA-Natalya-3029752/,Kazakhstan,KAZ,Boling,Kazakhstan,,-,04/16/1976,
SAMBATH ORN,68kg,https://id.asiangames2018.id/athletes/athlete/ORN-Sambath-3005907/,Cambodia,CAM,Soft Tenis,Cambodia,PHNOM PENH,172CM,12/29/1989,
Matthewelliot Wing Kai Orr,-,https://id.asiangames2018.id/athletes/athlete/ORR-Matthewelliot-Wing-Kai-9953609/,"Hong Kong, China",HKG,Sepak Bola,NA,,-,01/01/1997,
DANIEL ORTEGA,69kg,https://id.asiangames2018.id/athletes/athlete/ORTEGA-Daniel-3013808/,Philippines,PHI,Kano/Kayak Sprint,Philippines,TAYTAY RIZAL,170CM,07/16/1993,
RICK ROD ORTEGA,58kg,https://id.asiangames2018.id/athletes/athlete/ORTEGA-Rick-Rod-3011078/,Philippines,PHI,Pencak Silat,Philippines,MANILA,168CM,07/20/1993,
ELOMON ORTIKBOYEV,66kg,https://id.asiangames2018.id/athletes/athlete/ORTIKBOYEV-Elomon-3030309/,Kazakhstan,KAZ,Hoki,Kazakhstan,,175CM,12/12/1996,
MAIKA ANGELA ORTIZ,73kg,https://id.asiangames2018.id/athletes/athlete/ORTIZ-Maika-Angela-3017841/,Philippines,PHI,Bola Voli,Philippines,,155CM,08/30/1991,
RHEYJEY ORTOUSTE,68kg,https://id.asiangames2018.id/athletes/athlete/ORTOUSTE-Rheyjey-3009859/,Philippines,PHI,Sepaktakraw,Philippines,CEBU CITY,170CM,01/05/1994,
ZYBA ORUNOVA,68kg,https://id.asiangames2018.id/athletes/athlete/ORUNOVA-Zyba-3009302/,Turkmenistan,TKM,Sambo,Turkmenistan,,169CM,12/16/1993,
Nathania Claresta Orville,66kg,https://id.asiangames2018.id/athletes/athlete/ORVILLE-Nathania-Claresta-3014767/,Indonesia,INA,Basket,NA,,165CM,08/03/2000,
ASSEM ORYNBAY,55kg,https://id.asiangames2018.id/athletes/athlete/ORYNBAY-Assem-3029500/,Kazakhstan,KAZ,Menembak,Kazakhstan,,154CM,09/07/1993,
KAIKI OSHIRO,73kg,https://id.asiangames2018.id/athletes/athlete/OSHIRO-Kaiki-3024194/,Japan,JPN,Kano/Kayak Sprint,Japan,,176CM,05/29/1993,
HADI OSHTORAK,-,https://id.asiangames2018.id/athletes/athlete/OSHTORAK-Hadi-3030258/,IR Iran,IRI,Kabaddi,IslamicRepublicofIran,,-,06/29/1992,
SVETLANA OSIPOVA,73kg,https://id.asiangames2018.id/athletes/athlete/OSIPOVA-Svetlana-3002239/,Uzbekistan,UZB,Taekwondo,Uzbekistan,,182CM,05/03/2000,
ZAVEN OSIPYAN,84kg,https://id.asiangames2018.id/athletes/athlete/OSIPYAN-Zaven-3001182/,Uzbekistan,UZB,Polo Air,Uzbekistan,,182CM,02/14/2000,
SITI SAKINAH OSMAN,60kg,https://id.asiangames2018.id/athletes/athlete/OSMAN-Siti-Sakinah-3021494/,Malaysia,MAS,Paralayang,Malaysia,JOHOR,158CM,06/12/1995,
HAZRAT GUL OSMANI,60kg,https://id.asiangames2018.id/athletes/athlete/OSMANI-Hazrat-Gul-3022888/,Afghanistan,AFG,Karate,Afghanistan,Karte 4,174CM,11/23/1997,
SANZHAR OSMONALIEV,66kg,https://id.asiangames2018.id/athletes/athlete/OSMONALIEV-Sanzhar-3023824/,Kyrgyzstan,KGZ,Kurash,Kyrgyzstan,BISHKEK,170CM,01/11/1987,
