nama,berat,url,negara,noc,cabor,negl,kotal,tinggi,tgll,status
VASANTI SHAH,-,https://id.asiangames2018.id/athletes/athlete/SHAH-Vasanti-3030115/,India,IND,Bridge,India,,-,01/27/1942,
GOHAR SHAHBAZ,72kg,https://id.asiangames2018.id/athletes/athlete/SHAHBAZ-Gohar-3007938/,Pakistan,PAK,Atletik,Pakistan,GUJRANWALA,180CM,10/20/1993,
MUHAMMAD SHAHBAZ,70kg,https://id.asiangames2018.id/athletes/athlete/SHAHBAZ-Muhammad-3007947/,Pakistan,PAK,Atletik,Pakistan,OKARA,171CM,07/01/1997,
MEHRAN SHAHBAZI,80kg,https://id.asiangames2018.id/athletes/athlete/SHAHBAZI-Mehran-3001323/,IR Iran,IRI,Bulutangkis,IslamicRepublicofIran,,182CM,09/20/1996,
HUSSEIN ZAYAN SHAHEED ZAKI,57kg,https://id.asiangames2018.id/athletes/athlete/SHAHEED-ZAKI-Hussein-Zayan-3005217/,Maldives,MDV,Bulutangkis,Maldives,,153CM,05/30/1993,
ALI SHAHID,90kg,https://id.asiangames2018.id/athletes/athlete/SHAHID-Ali-3011018/,Pakistan,PAK,Rugby 7,Pakistan,KARACHI,181CM,08/03/1993,
MARIUM SHAHID,50kg,https://id.asiangames2018.id/athletes/athlete/SHAHID-Marium-3021146/,Pakistan,PAK,Soft Tenis,Pakistan,KARACHI,151CM,05/09/2000,
NURHANISHAH SHAHRUDIN,66kg,https://id.asiangames2018.id/athletes/athlete/SHAHRUDIN-Nurhanishah-3004985/,Singapore,SGP,Pencak Silat,Singapore,SINGAPORE,157CM,11/19/1998,
MOHAMAD HAZIM SHAHRUM,58kg,https://id.asiangames2018.id/athletes/athlete/SHAHRUM-Mohamad-Hazim-3029103/,Malaysia,MAS,Sepatu Roda,Malaysia,,175CM,10/31/1999,
NEDA SHAHSAVARI,58kg,https://id.asiangames2018.id/athletes/athlete/SHAHSAVARI-Neda-3001768/,IR Iran,IRI,Tenis Meja,IslamicRepublicofIran,,166CM,09/21/1986,
KHURRAM SHAHZAD,79kg,https://id.asiangames2018.id/athletes/athlete/SHAHZAD-Khurram-3007815/,Pakistan,PAK,Bola Tangan,Pakistan,HARIPUR,180CM,03/16/1988,
MAHOOR SHAHZAD,56kg,https://id.asiangames2018.id/athletes/athlete/SHAHZAD-Mahoor-3002734/,Pakistan,PAK,Bulutangkis,Pakistan,KARACHI,168CM,10/17/1996,
